([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.436754584312439, 2.538771152496338])
